OfferedID,Capacity,CourseID,CurrentlyEnrolled,EndTime,InstructionalMethod,Instructor,MeetingDay,SectionID,SemesterID,StartTime
5001,30,CS604,18,20:30,Hybrid,Dr. Bai,Monday,1,Fall2024,18:00
5002,30,CS604,22,0:00,Online,Dr. Yung,Asynchronous,2,Fall2024,0:00
5003,40,CS641,27,14:30,Online,Mr. Wang,"[""Friday"",""Wednesday""]",1,Fall2024,12:00
5004,30,CS672,16,20:30,Hybrid,Dr. Fernandez,Wednesday,1,Fall2024,18:00
5005,30,CS672,27,0:00,Online,Dr.Collin,Asynchronous,2,Fall2024,0:00
5006,30,CS604,12,20:30,Hybrid,Dr. Bai,Monday,1,Fall2025,18:00
5007,30,CS624,21,17:00,In Person,Ms. Cruz,Wednesday,1,Fall2025,19:30
5008,30,CS624,12,0:00,Online,Mr. Lee,Asynchronous,2,Fall2025,0:00
5009,40,CS641,21,14:30,Online,Mr. Wang,"[""Friday"",""Wednesday""]",1,Fall2025,12:00
5010,40,CS641,36,0:00,Online,Mr.Yadav,Asynchronous,2,Fall2025,0:00
5011,30,CS661,28,00:00,Online,Ms. Patel,Asynchronous,1,Fall2025,00:00
5012,30,CS672,26,0:00,Online,Dr.Collin,Asynchronous,1,Fall2025,0:00
5013,30,CS604,0,0:00,Online,Dr. Yung,Asynchronous,2,Fall2026,0:00
5014,30,CS608,0,00:00,Online,Mr. Kon,Asynchronous,2,Fall2026,00:00
5015,45,CS617,0,00:00,Online,Dr. Khan,Asynchronous,1,Fall2026,00:00
5016,30,CS624,0,0:00,Online,Mr. Lee,Asynchronous,1,Fall2026,0:00
5017,30,CS661,0,00:00,Online,Ms. Patel,Asynchronous,1,Fall2026,00:00
5018,30,CS661,0,17:00,Online,Dr. Davis,Monday,2,Fall2026,19:00
5019,20,CS691,0,00:00,Online,Dr. Mart,Asynchronous,1,Fall2026,00:00
5020,30,CS604,0,20:30,Hybrid,Dr. Bai,Monday,1,Fall2027,18:00
5021,30,CS604,0,18:30,Online,Mr. Anderson,"[""Thursday"",""Tuesday""]",2,Fall2027,16:00
5022,45,CS617,0,00:00,Online,Dr. Smith,Asynchronous,1,Fall2027,00:00
5023,30,CS624,0,0:00,Online,Mr. Lee,Asynchronous,1,Fall2027,0:00
5024,40,CS641,0,0:00,Online,Mr. Yadav,Asynchronous,1,Fall2027,0:00
5025,30,CS661,0,17:00,Online,Dr. Davis,Monday,1,Fall2027,19:00
5026,30,CS672,0,20:30,Hybrid,Dr. Fernandez,Wednesday,1,Fall2027,18:00
5027,30,CS672,0,0:00,Online,Dr.Collin,Asynchronous,2,Fall2027,0:00
5028,30,CS608,18,00:00,Online,Mr. Kon,Asynchronous,1,Spring2025,00:00
5029,30,CS608,13,14:30,In Person,Mr. Evans,Wednesday,2,Spring2025,12:00
5030,45,CS617,19,00:00,Online,Dr. Smith,Asynchronous,2,Spring2025,00:00
5031,30,CS624,15,17:00,In Person,Ms. Cruz,Wednesday,1,Spring2025,19:30
