CourseID,CareerTags,CourseKeywords,CourseName,Credits,MajorID
CS601C,"[""Business Analyst"",""Data Analyst"",""Data Scientist"",""Statistician""]","[""R programming"",""big data"",""linear models"",""machine learning"",""probability"",""sampling methods"",""statistical inference"",""statistics""]",Computational Statistics,3,3
SE785,"[""Software Engineer"",""Software Project Manager"",""Systems Architect"",""Technical Lead""]","[""capstone project"",""client collaboration"",""estimation"",""project planning"",""real world software project"",""software solution development""]",Software Engineering Studio,3,4
CYB613,"[""IT Specialist"",""Linux Administrator"",""Security Engineer"",""Systems Administrator""]","[""OS design"",""linux administration"",""operating systems"",""resource allocation"",""system security""]",Operating Systems: Theory and Administration,3,3
CS672,"[""AI Engineer"",""Data Scientist"",""Machine Learning Engineer"",""Research Scientist"",""Software Engineer""]","[""classification"",""convolutional neural networks"",""deep learning"",""machine learning"",""model evaluation"",""neural networks"",""recurrent neural networks"",""supervised learning""]",Intro to Deep Learning,3,1
IS669,"[""Big Data Engineer"",""Business Intelligence Analyst"",""Data Analyst"",""Data Scientist""]","[""Hadoop"",""MapReduce"",""big data"",""competitive advantage"",""data analytics"",""data mining"",""organizational analytics""]",Big Data and Information Systems,3,2
CYB651,"[""Cyber Intelligence Analyst"",""Data Scientist"",""Security Analyst"",""Threat Intelligence Analyst""]","[""cyber intelligence"",""dark web analysis"",""data mining"",""machine learning"",""open source intelligence"",""textual analysis""]",Cyber Intelligence Analysis and Modeling,3,3
IS679,"[""AI Researcher"",""Cognitive Scientist"",""Human-Computer Interaction Specialist"",""UX Researcher""]","[""cognitive modeling"",""cognitive science"",""human cognition"",""human factors"",""technology design""]",Cognitive Science and Technology,3,5
IS612,"[""Data Analyst"",""IT Specialist"",""Software Engineer"",""Web Developer""]","[""control flow"",""data structures"",""data visualization"",""databases"",""functions"",""programming fundamentals"",""python"",""web data retrieval""]",Introduction to Coding,3,3
SE765,"[""Backend Developer"",""Distributed Systems Engineer"",""Software Engineer"",""Systems Architect""]","[""client-server architecture"",""communication protocols"",""distributed systems"",""message-passing"",""network programming"",""sockets""]",Distributed Software Development,3,4
CYS611,"[""Cybersecurity Analyst"",""IT Auditor"",""Risk Manager"",""Security Specialist""]","[""cybersecurity fundamentals"",""ethics"",""privacy"",""risk management"",""security technologies"",""threat identification"",""vulnerabilities""]",Introduction to Cybersecurity,3,3
IS614,"[""AI Engineer"",""AI Product Manager"",""Data Scientist"",""Machine Learning Engineer""]","[""AI models"",""AI trends"",""algorithmic vs heuristic programming"",""applied AI"",""expert systems"",""machine learning applications"",""search trees""]",Applied Artificial Intelligence,3,5
