MajorCourseID,CourseID,MajorID,RequirementType
1,CS604,1,Core
2,CS608,1,Core
3,CS617,1,Elective
4,CS624,1,Elective
5,CS641,1,Elective
6,CS661,1,Elective
7,CS672,1,Elective
8,CS691,1,Capstone
10,CYS611,3,Core
11,CYB613,3,Core
12,CYB621,3,Core
13,CYB651,3,Elective
14,IS613,3,Elective
15,IT664,3,Elective
16,IS647,3,Elective
17,CS619,2,Core
18,CS660,2,Core
19,CS667,2,Core
20,CS673,2,Core
23,CS672,2,Elective
24,IS669,2,Elective
25,ECO653,2,Elective
26,SE675,4,Core
27,SE673,4,Core
28,SE679,4,Core
29,SE725,4,Elective
30,SE751,4,Elective
31,SE765,4,Elective
32,SE785,4,Capstone
33,IS614,5,Core
34,IS685,5,Core
35,IS689,5,Core
36,IS683,5,Elective
37,CS671,5,Elective
38,CS655,5,Elective
39,IS679,5,Elective
40,CYB651,5,Elective
41,CS660,5,Elective
