ScheduleID,StudentID,OfferedID,Status
9001,100001,5001,Completed
9002,100001,5028,Completed
9003,100001,5012,Completed
9004,100001,5039,Completed
9005,100001,5016,Accepted
9006,100005,5181,Completed
9007,100005,5192,Completed
9008,100005,5196,Accepted
9009,100005,5177,Draft
9010,100005,5206,Draft
9011,100008,5137,Completed
9012,100008,5148,Completed
9013,100008,5163,Completed
9014,100008,5121,Completed
9015,100008,5157,Accepted
9016,100014,5063,Completed
9017,100014,5073,Completed
9018,100014,5096,Completed
9019,100014,5106,Completed
9020,100014,5086,Accepted
9021,100017,5067,Completed
9022,100017,5071,Completed
9023,100017,5055,Completed
9024,100017,5096,Completed
9025,100017,5085,Completed
9026,100021,5006,Completed
9027,100021,5012,Completed
9028,100021,5034,Completed
9029,100021,5035,Completed
9030,100021,5019,Accepted
9031,100026,5063,Completed
9032,100026,5073,Completed
9033,100026,5096,Completed
9034,100026,5085,Completed
9035,100026,5058,Accepted
9036,100015,5266,Completed
9037,100015,5243,Completed
9038,100015,5261,Completed
9039,100015,5228,Completed
9040,100015,5277,Accepted
